candidate_id,fuente,sku_semilla,caja_grosor_mm,L_int,W_int,H_int,caja_exterior_largo,caja_exterior_ancho,caja_exterior_alto,cajas_L,cajas_W,cajas_H,capacidad_pallet,carga_maxima_kg
t3_0_c05839,busqueda_directa_grupos,particion_grupos,3.0,393.9999999,293.9999999,293.9999999,399.9999999,299.9999999,299.9999999,2,4,6,48,142.71151881753312
t3_0_c05840,busqueda_directa_grupos,particion_grupos,3.0,393.9999999,293.9999999,265.95744680851067,399.9999999,299.9999999,271.95744680851067,2,4,6,48,142.71151881753312
t3_0_c05841,busqueda_directa_grupos,particion_grupos,3.0,393.9999999,293.9999999,173.40425531914894,399.9999999,299.9999999,179.40425531914894,2,4,10,80,142.71151881753312
t3_0_c05842,busqueda_directa_grupos,particion_grupos,3.0,393.9999999,293.9999999,232.97872340425533,399.9999999,299.9999999,238.97872340425533,2,4,7,56,142.71151881753312
t3_0_c05843,busqueda_directa_grupos,particion_grupos,3.0,393.9999999,293.9999999,251.14285704285717,399.9999999,299.9999999,257.14285704285714,2,4,7,56,142.71151881753312
t3_0_c05844,busqueda_directa_grupos,particion_grupos,3.0,393.9999999,293.9999999,193.9999999,399.9999999,299.9999999,199.9999999,2,4,9,72,142.71151881753312
t3_0_c05845,busqueda_directa_grupos,particion_grupos,3.0,393.9999999,293.9999999,157.4468085106383,399.9999999,299.9999999,163.4468085106383,2,4,11,88,142.71151881753312
t3_0_c05846,busqueda_directa_grupos,particion_grupos,3.0,393.9999999,293.9999999,273.40425531914894,399.9999999,299.9999999,279.40425531914894,2,4,6,48,142.71151881753312
t3_0_c05847,busqueda_directa_grupos,particion_grupos,3.0,393.9999999,293.9999999,206.38297872340428,399.9999999,299.9999999,212.38297872340428,2,4,8,64,142.71151881753312
t3_0_c05848,busqueda_directa_grupos,particion_grupos,3.0,393.9999999,268.0851063829787,250.0,399.9999999,274.0851063829787,256.0,2,4,7,56,137.42815622486822
t3_0_c05849,busqueda_directa_grupos,particion_grupos,3.0,393.9999999,271.2765957446809,193.9999999,399.9999999,277.2765957446809,199.9999999,2,4,9,72,138.07881664519485
t3_0_c05850,busqueda_directa_grupos,particion_grupos,3.0,393.9999999,233.9999999,209.5744680851064,399.9999999,239.9999999,215.5744680851064,2,5,8,80,130.47910291539245
t3_0_c05851,busqueda_directa_grupos,particion_grupos,3.0,393.9999999,271.2765957446809,217.0212765957447,399.9999999,277.2765957446809,223.0212765957447,2,4,8,64,138.07881664519485
t3_0_c05852,busqueda_directa_grupos,particion_grupos,3.0,393.9999999,233.9999999,190.42553191489364,399.9999999,239.9999999,196.42553191489364,2,5,9,90,130.47910291539245
t3_0_c05853,busqueda_directa_grupos,particion_grupos,3.0,393.9999999,271.2765957446809,250.0,399.9999999,277.2765957446809,256.0,2,4,7,56,138.07881664519485
t3_0_c05854,busqueda_directa_grupos,particion_grupos,3.0,393.9999999,293.9999999,217.0212765957447,399.9999999,299.9999999,223.0212765957447,2,4,8,64,142.71151881753312
t3_0_c05855,busqueda_directa_grupos,particion_grupos,3.0,393.9999999,293.9999999,218.9999999,399.9999999,299.9999999,224.9999999,2,4,8,64,142.71151881753312
t3_0_c05856,busqueda_directa_grupos,particion_grupos,3.0,393.9999999,233.9999999,153.19148936170214,399.9999999,239.9999999,159.19148936170214,2,5,11,110,130.47910291539245
