codigo_producto,candidate_id,costo_flete_usd
BR0001,t3_0_c00001,5800050.0
BR0001,t3_0_c00002,4833450.0
BR0001,t3_0_c00011,12888600.0
BR0001,t3_0_c00012,4833450.0
BR0001,t3_0_c00106,15466350.0
BR0001,t3_0_c00107,5800050.0
BR0001,t3_0_c00108,15466350.0
BR0001,t3_0_c00109,5800050.0
BR0001,t3_0_c00142,5800050.0
BR0001,t3_0_c00303,5800050.0
BR0001,t3_0_c00326,11599950.0
BR0001,t3_0_c00403,5800050.0
BR0001,t3_0_c00417,6444450.0
BR0001,t3_0_c00424,4833450.0
BR0001,t3_0_c00513,5800050.0
BR0001,t3_0_c00518,4833450.0
BR0001,t3_0_c00527,4833450.0
BR0001,t3_0_c00547,11599950.0
BR0001,t3_0_c00568,11599950.0
BR0001,t3_0_c00569,7733250.0
BR0001,t3_0_c00588,5800050.0
BR0001,t3_0_c00590,5800050.0
BR0001,t3_0_c00599,5800050.0
BR0001,t3_0_c00607,6444450.0
BR0001,t3_0_c00616,7733250.0
BR0001,t3_0_c00623,5800050.0
BR0001,t3_0_c00644,11599950.0
BR0001,t3_0_c00648,6444450.0
BR0001,t3_0_c00673,12888600.0
BR0001,t3_0_c00689,7733250.0
BR0001,t3_0_c00836,7733250.0
BR0001,t3_0_c00863,4833450.0
BR0001,t3_0_c00905,4833450.0
BR0001,t3_0_c00979,11599950.0
BR0001,t3_0_c00985,6444450.0
BR0001,t3_0_c00996,5800050.0
BR0001,t3_0_c01000,11599950.0
BR0001,t3_0_c01057,11599950.0
BR0001,t3_0_c01065,5800050.0
BR0001,t3_0_c01068,12888600.0
BR0001,t3_0_c01078,6444450.0
BR0001,t3_0_c01101,5800050.0
BR0001,t3_0_c01103,15466350.0
BR0001,t3_0_c01145,9666600.0
BR0001,t3_0_c01167,5800050.0
BR0001,t3_0_c01189,5800050.0
BR0001,t3_0_c01233,4833450.0
BR0001,t3_0_c01240,5800050.0
BR0001,t3_0_c01273,6444450.0
BR0001,t3_0_c01293,5800050.0
BR0001,t3_0_c01348,7733250.0
BR0001,t3_0_c01484,5800050.0
BR0001,t3_0_c01488,7733250.0
BR0001,t3_0_c01496,11599950.0
BR0001,t3_0_c01511,5800050.0
BR0001,t3_0_c01560,4833450.0
BR0001,t3_0_c01567,6444450.0
BR0001,t3_0_c01568,5800050.0
BR0001,t3_0_c01580,5800050.0
BR0001,t3_0_c01590,5800050.0
BR0001,t3_0_c01599,5800050.0
BR0001,t3_0_c01600,11599950.0
BR0001,t3_0_c01603,7733250.0
BR0001,t3_0_c01624,11599950.0
BR0001,t3_0_c01625,5800050.0
BR0001,t3_0_c01692,12888600.0
BR0001,t3_0_c01698,5800050.0
BR0001,t3_0_c01706,7733250.0
BR0001,t3_0_c01710,5800050.0
BR0001,t3_0_c01733,4833450.0
BR0001,t3_0_c01737,15466350.0
BR0001,t3_0_c01778,5800050.0
BR0001,t3_0_c01779,6444450.0
BR0001,t3_0_c01806,5800050.0
BR0001,t3_0_c01836,4833450.0
BR0001,t3_0_c01842,11599950.0
BR0001,t3_0_c01854,5800050.0
BR0001,t3_0_c01935,11599950.0
BR0001,t3_0_c01936,5800050.0
BR0001,t3_0_c01939,6444450.0
BR0001,t3_0_c01953,5800050.0
BR0001,t3_0_c01957,11599950.0
BR0001,t3_0_c01968,5800050.0
BR0001,t3_0_c01986,12888600.0
BR0001,t3_0_c02003,15466350.0
BR0001,t3_0_c02024,5800050.0
BR0001,t3_0_c02057,7733250.0
BR0001,t3_0_c02068,11599950.0
BR0001,t3_0_c02086,5800050.0
BR0001,t3_0_c02102,5800050.0
BR0001,t3_0_c02109,5800050.0
BR0001,t3_0_c02113,11599950.0
BR0001,t3_0_c02144,5800050.0
BR0001,t3_0_c02158,12888600.0
BR0001,t3_0_c02205,12888600.0
BR0001,t3_0_c02237,5800050.0
BR0001,t3_0_c02242,5800050.0
BR0001,t3_0_c02319,5800050.0
BR0001,t3_0_c02348,5800050.0
BR0001,t3_0_c02364,15466350.0
BR0001,t3_0_c02374,12888600.0
BR0001,t3_0_c02426,6444450.0
BR0001,t3_0_c02429,12888600.0
BR0001,t3_0_c02438,12888600.0
BR0001,t3_0_c02445,7733250.0
BR0001,t3_0_c02456,7733250.0
BR0001,t3_0_c02463,7733250.0
BR0001,t3_0_c02467,6444450.0
BR0001,t3_0_c02497,12888600.0
BR0001,t3_0_c02510,12888600.0
BR0001,t3_0_c02544,5800050.0
BR0001,t3_0_c02551,5800050.0
BR0001,t3_0_c02556,12888600.0
BR0001,t3_0_c02575,5800050.0
BR0001,t3_0_c02584,4833450.0
BR0001,t3_0_c02643,5800050.0
BR0001,t3_0_c02644,5800050.0
BR0002,t3_0_c00003,1160100.0
BR0002,t3_0_c00004,435150.0
BR0002,t3_0_c00134,435150.0
BR0002,t3_0_c00139,1160100.0
BR0002,t3_0_c00255,1160100.0
BR0002,t3_0_c00369,435150.0
BR0002,t3_0_c00384,435150.0
BR0002,t3_0_c00426,580050.0
BR0002,t3_0_c00457,435150.0
BR0002,t3_0_c00483,580050.0
BR0002,t3_0_c00545,435150.0
BR0002,t3_0_c00585,497250.0
BR0002,t3_0_c00586,1160100.0
