candidate_id,planta,volumen,indice_tier,tier,costo_unitario_usd,costo_packaging_usd
t3_0_c00012,bakersfield,530433,4,tier_5,0.42,222781.86
t3_0_c00012,buenos_aires,7599,0,tier_1,0.66,5015.34
t3_0_c00012,curitiba,1597301,4,tier_5,0.42,670866.4199999999
t3_0_c00012,monterrey,93987,2,tier_3,0.54,50752.98
t3_0_c00012,santiago,559031,4,tier_5,0.42,234793.02
t3_0_c00050,buenos_aires,36224,1,tier_2,0.6,21734.399999999998
t3_0_c00084,curitiba,33240,1,tier_2,0.6,19944.0
t3_0_c00086,curitiba,166453,3,tier_4,0.48,79897.44
t3_0_c00086,santiago,391351,3,tier_4,0.48,187848.47999999998
t3_0_c00180,buenos_aires,614,0,tier_1,0.66,405.24
t3_0_c00182,bakersfield,144393,3,tier_4,0.48,69308.64
t3_0_c00182,buenos_aires,623941,4,tier_5,0.42,262055.22
t3_0_c00182,curitiba,569583,4,tier_5,0.42,239224.86
t3_0_c00182,monterrey,33785,1,tier_2,0.6,20271.0
t3_0_c00182,santiago,1701302,4,tier_5,0.42,714546.84
t3_0_c00208,curitiba,76037,2,tier_3,0.54,41059.98
t3_0_c00215,santiago,893718,4,tier_5,0.42,375361.56
t3_0_c00222,buenos_aires,153351,3,tier_4,0.48,73608.48
t3_0_c00289,bakersfield,107617,3,tier_4,0.48,51656.159999999996
t3_0_c00289,buenos_aires,54642,2,tier_3,0.54,29506.68
t3_0_c00289,curitiba,548052,4,tier_5,0.42,230181.84
t3_0_c00289,monterrey,41010,1,tier_2,0.6,24606.0
t3_0_c00289,santiago,240057,3,tier_4,0.48,115227.36
t3_0_c00320,bakersfield,30,0,tier_1,0.66,19.8
t3_0_c00320,buenos_aires,33,0,tier_1,0.66,21.78
t3_0_c00320,curitiba,76,0,tier_1,0.66,50.160000000000004
t3_0_c00320,monterrey,25,0,tier_1,0.66,16.5
t3_0_c00320,santiago,50,0,tier_1,0.66,33.0
t3_0_c00346,curitiba,503946,4,tier_5,0.42,211657.31999999998
t3_0_c00346,santiago,578438,4,tier_5,0.42,242943.96
t3_0_c00534,bakersfield,61,0,tier_1,0.66,40.260000000000005
t3_0_c00534,buenos_aires,68,0,tier_1,0.66,44.88
t3_0_c00534,curitiba,640106,4,tier_5,0.42,268844.52
t3_0_c00534,monterrey,51,0,tier_1,0.66,33.660000000000004
t3_0_c00534,santiago,101,0,tier_1,0.66,66.66
t3_0_c00635,bakersfield,107753,3,tier_4,0.48,51721.439999999995
t3_0_c00635,buenos_aires,13149,0,tier_1,0.66,8678.34
t3_0_c00635,curitiba,1153905,4,tier_5,0.42,484640.1
t3_0_c00635,monterrey,9868,0,tier_1,0.66,6512.88
t3_0_c00635,santiago,702148,4,tier_5,0.42,294902.16
t3_0_c00696,curitiba,126626,3,tier_4,0.48,60780.479999999996
t3_0_c00696,santiago,53818,2,tier_3,0.54,29061.72
